gobject_id,timestamp_of_delete
6982,00000000000966FE
6983,0000000000096744
6984,0000000000096793
6986,000000000009681D
6987,0000000000096822
6981,0000000000096825
gobject_id,template_definition_id,derived_from_gobject_id,contained_by_gobject_id,area_gobject_id,hosted_by_gobject_id,checked_out_by_user_guid,default_symbol_gobject_id,default_display_gobject_id,checked_in_package_id,checked_out_package_id,deployed_package_id,last_deployed_package_id,tag_name,contained_name,identity_guid,configuration_guid,configuration_version,deployed_version,is_template,is_hidden,software_upgrade_needed,hosting_tree_level,hierarchical_name,namespace_id,deployment_pending_status
26,16,18,0,0,0,,0,0,27,0,0,0,Generator1,,{B75B909F-366F-47BD-AE9D-069EE7B3E587},{03967D38-E25A-48DF-B559-DCAE47AEF167},6,0,0,0,0,4,Generator1,3,0
27,16,18,0,0,0,,0,0,28,0,0,0,GlassFunnel2,,{E6FDBE4F-9443-417A-B07A-D8FCBD1E8160},{DF2753D1-4B29-4FCA-AC83-0EEAD6E0C1B9},4,0,0,0,0,4,GlassFunnel2,3,0
28,16,18,0,0,0,,0,0,29,0,0,0,Flask,,{47F3AB8A-7A8D-43D4-8B49-6667F8FE5ADB},{D0632EE1-81B8-47EA-AEE6-CB271DF6C6F6},4,0,0,0,0,4,Flask,3,0
29,16,18,0,0,0,,0,0,30,0,0,0,GlassFunnel1,,{C8057DAE-4E77-49D0-82D3-382762FF8EAE},{D4F89F9F-DD6B-4DA3-9667-0D3F5046A892},6,0,0,0,0,4,GlassFunnel1,3,0
30,16,18,0,0,0,,0,0,31,0,0,0,PLC2,,{3814C40B-C146-4C3D-A98E-EFBC962DF25E},{90B16600-6113-489E-A480-416EDDAFA1A0},8,0,0,0,0,4,PLC2,3,0
31,16,18,0,0,0,,0,0,32,0,0,0,RadioModem2,,{7F0D8027-7EA9-4140-8754-7D58070EC494},{ADD1B92A-D70F-4B7B-B799-FE7D4A45427B},6,0,0,0,0,4,RadioModem2,3,0
32,16,18,0,0,0,,0,0,33,0,0,0,RadioModem1,,{A8FDC3C7-E3CA-4C30-9A15-31D85798657E},{94921033-3A7A-43E6-A8C9-ACF6F627E112},7,0,0,0,0,4,RadioModem1,3,0
33,16,18,0,0,0,,0,0,34,0,0,0,PalletForForklift,,{AE4D6119-13F5-475F-8B8D-7ED03A36D759},{42D080AD-6701-493D-8914-61911FFE13F0},5,0,0,0,0,4,PalletForForklift,3,0
34,16,18,0,0,0,,0,0,35,0,0,0,StackableBoxesAngle,,{4709078A-5687-4657-BA39-2B29892C9431},{88F26B27-35B1-4606-8F83-B7918FE4049E},5,0,0,0,0,4,StackableBoxesAngle,3,0
35,16,18,0,0,0,,0,0,36,0,0,0,StackableBoxesFrontView,,{4D4B21FD-2281-496B-99E2-CBF01C826840},{779F1807-123D-4F16-AA28-C4D3C3EC014E},6,0,0,0,0,4,StackableBoxesFrontView,3,0
36,16,18,0,0,0,,0,0,37,0,0,0,PalletWithBoxesFront,,{BB87EDB3-A1BB-4BE5-B208-7D068AA2CE53},{B5BFB894-EF0A-4FFD-834D-F918E6DBB965},8,0,0,0,0,4,PalletWithBoxesFront,3,0
37,16,18,0,0,0,,0,0,38,0,0,0,PalletAtAngle,,{20F05793-1C70-49D1-B567-129613769EDD},{8CF11F67-D56E-40E7-98D7-07EE46B2E94A},6,0,0,0,0,4,PalletAtAngle,3,0
38,16,18,0,0,0,,0,0,39,0,0,0,SatelliteDish2,,{11956D51-2284-4578-92E3-8FA94E5003A5},{FDC6086F-45EA-44AC-8E3E-3938B1E4C7A7},9,0,0,0,0,4,SatelliteDish2,3,0
39,16,18,0,0,0,,0,0,40,0,0,0,PLC1,,{3C7DA617-4F78-45A4-8248-19762BA631EE},{14FB9DE5-D8C2-423F-AA0F-8F8BBA9F504A},8,0,0,0,0,4,PLC1,3,0
40,16,18,0,0,0,,0,0,41,0,0,0,SphericalFlask2,,{BF432663-32DB-47DC-8D3F-19083F0549A3},{03C31E86-E626-4811-BA85-BC9C8943EE35},6,0,0,0,0,4,SphericalFlask2,3,0
41,16,18,0,0,0,,0,0,42,0,0,0,SphericalFlask,,{B6E8A412-AC4F-4BA2-B66D-D9E0D60AF688},{FC477BA7-4019-47F7-844F-9D1FC188A81A},6,0,0,0,0,4,SphericalFlask,3,0
42,16,18,0,0,0,,0,0,43,0,0,0,RadioTower2,,{E5DB6684-AEF7-4AE6-9F11-140FB0E6FB67},{A3C100B0-8658-4D69-ACCE-D9EABF69D2E2},5,0,0,0,0,4,RadioTower2,3,0
43,16,18,0,0,0,,0,0,44,0,0,0,SatelliteDish1,,{80B281A7-7D67-47A7-A9BC-978B6DD35814},{95836CB7-D090-4AD6-9C94-4D81E61A601C},4,0,0,0,0,4,SatelliteDish1,3,0
44,16,18,0,0,0,,0,0,45,0,0,0,FlaskGroup,,{E844012E-2E01-4C63-B12A-4957B3293AD9},{8E8EFB9F-EABC-4F05-9F05-99B4E1BC4539},8,0,0,0,0,4,FlaskGroup,3,0
45,16,18,0,0,0,,0,0,46,0,0,0,Bowl2,,{98E2A8BB-E146-4AC4-800E-AEA0ECDD9421},{B2D6DCA3-B8FC-4140-8102-4A0434EE05FB},5,0,0,0,0,4,Bowl2,3,0
46,16,18,0,0,0,,0,0,47,0,0,0,TestTube,,{C75274FE-9E11-4698-A339-32DDCAEB1E6A},{7FCD502F-704C-49DC-8193-7B72F38D5ED6},5,0,0,0,0,4,TestTube,3,0
47,16,18,0,0,0,,0,0,48,0,0,0,MeasuringCylinder,,{881756E6-510F-498F-9012-FB5E7F8349BD},{0B7DBD19-89E3-440D-9B8A-CE04E6965BAB},7,0,0,0,0,4,MeasuringCylinder,3,0
48,16,18,0,0,0,,0,0,49,0,0,0,Router,,{685B7324-BC95-43BD-BB96-131ECCC7CFF3},{861F2FE7-7240-470C-BD0A-4979B5A1F7D1},6,0,0,0,0,4,Router,3,0
49,16,18,0,0,0,,0,0,50,0,0,0,ShortTankerTruckRed,,{7C9A7457-FE3E-472A-A304-4BBA9F1DACE7},{B92859AA-2D7A-49FB-890B-AFD613A0AF7D},5,0,0,0,0,4,ShortTankerTruckRed,3,0
50,16,18,0,0,0,,0,0,51,0,0,0,ShortTankerTruckDarkTeal,,{1FDC1706-2E6B-430C-B42D-262995C65571},{E7B31497-C8B0-46AF-B2CB-476C8448857D},8,0,0,0,0,4,ShortTankerTruckDarkTeal,3,0
51,16,18,0,0,0,,0,0,52,0,0,0,TankerTruckRearView,,{129A90B4-8218-4BCE-9852-EDFA12CB488D},{535CE46E-0EA2-4E25-997C-BB24B068E9F5},7,0,0,0,0,4,TankerTruckRearView,3,0
52,16,18,0,0,0,,0,0,53,0,0,0,SSRailTankerCar,,{D4ED019D-8E55-4329-94D6-E3104C5361D5},{A12AA29A-9A98-4D21-BE72-E036468782CD},8,0,0,0,0,4,SSRailTankerCar,3,0
53,16,18,0,0,0,,0,0,54,0,0,0,RailTankerCar,,{E467CC5D-510C-41DA-A397-79B72AD0008E},{09542FE9-C57B-4E4B-A5B5-BD9D0FC85918},10,0,0,0,0,4,RailTankerCar,3,0
54,16,18,0,0,0,,0,0,55,0,0,0,RailBoxCar,,{06A4F3B3-5493-4BBE-9C9F-A111DBE8F5B0},{6945AB92-A09B-4131-AC3D-DA3547B8A7A3},7,0,0,0,0,4,RailBoxCar,3,0
55,16,18,0,0,0,,0,0,56,0,0,0,MonitorOnCPU,,{56713F15-FE4E-45A1-8114-485736F5E171},{F89D9BFD-10D4-4F96-9F95-C54F5C1EFAD6},5,0,0,0,0,4,MonitorOnCPU,3,0
56,16,18,0,0,0,,0,0,57,0,0,0,MonitorAndKeyboard2,,{23CE89D9-38B7-49C4-BBED-8413BDE8FB6B},{2BC97529-310C-4412-9F65-15D700EB62C9},6,0,0,0,0,4,MonitorAndKeyboard2,3,0
57,16,18,0,0,0,,0,0,58,0,0,0,RedFunnel,,{76136167-3EBA-4330-B82D-38E2500725C2},{BD834046-9DA3-467F-8B5F-E2A83F4FBCF6},7,0,0,0,0,4,RedFunnel,3,0
58,16,18,0,0,0,,0,0,59,0,0,0,SSFunnel,,{5DED90FC-492A-4CE2-9452-33CC27CA1552},{F2D7AB4E-B2BA-47B0-8A3E-119C5AA987A4},7,0,0,0,0,4,SSFunnel,3,0
59,16,18,0,0,0,,0,0,60,0,0,0,Microscope,,{962D5101-EA44-4C02-927A-7F50E943AFA4},{4A8C3082-B8C0-44FD-B2AD-28A487F5A30A},10,0,0,0,0,4,Microscope,3,0
60,16,18,0,0,0,,0,0,61,0,0,0,TruckFrontView,,{AF2756C7-0653-45CB-84E7-438303DB7556},{E37E73B6-1FFE-4ABE-8037-E25BF57B7B16},5,0,0,0,0,4,TruckFrontView,3,0
